"","date","total_sales","percent_share_of_sales_value_product","competitor_KTD_S","competitor_Carabao_S","kol_S","tv_spot_S","tv_sponsor_S","radio_S","activation_S","facebook_S","youtube_S","tiktok_S","kol_boost_S"
"1",2022-07-04,8750,0,92500,175000,0,0,0,0,0,0,0,0,0
"2",2022-07-11,8750,0,92500,175000,0,0,0,0,0,0,0,0,0
"3",2022-07-18,8750,0,92500,175000,0,0,0,0,0,0,0,0,0
"4",2022-07-25,8750,0,92500,175000,0,0,0,0,0,0,0,0,0
"5",2022-08-01,493200,0.14,42000,274000,0,0,0,0,0,0,0,0,0
"6",2022-08-08,493200,0.14,42000,274000,0,0,0,0,0,0,0,0,0
"7",2022-08-15,493200,0.14,42000,274000,0,0,0,0,0,0,0,0,0
"8",2022-08-22,493200,0.14,42000,274000,0,0,0,0,0,0,0,0,0
"9",2022-08-29,493200,0.14,42000,274000,0,0,0,0,0,0,0,0,0
"10",2022-09-05,1966000,0.47,597500,540000,0,0,0,0,0,0,0,0,0
"11",2022-09-12,1966000,0.47,597500,540000,0,0,0,0,0,0,0,0,0
"12",2022-09-19,1966000,0.47,597500,540000,0,0,0,0,0,0,0,0,0
"13",2022-09-26,1966000,0.47,597500,540000,0,0,0,0,0,0,0,0,0
"14",2022-10-03,2186000,0.65,492000,548000,0,0,0,60000,0,130999.63,0,0,0
"15",2022-10-10,2186000,0.65,492000,548000,0,0,0,60000,0,130999.63,0,0,0
"16",2022-10-17,2186000,0.65,492000,548000,0,0,0,60000,0,130999.63,0,0,0
"17",2022-10-24,2186000,0.65,492000,548000,0,0,0,60000,0,130999.63,0,0,0
"18",2022-10-31,2186000,0.65,492000,548000,0,0,0,60000,0,130999.63,0,0,0
"19",2022-11-07,4614000,1.07,775000,665000,0,0,0,0,0,327497.6,0,0,0
"20",2022-11-14,4614000,1.07,775000,665000,0,0,0,0,0,327497.6,0,0,0
"21",2022-11-21,4614000,1.07,775000,665000,0,0,0,0,0,327497.6,0,0,0
"22",2022-11-28,4614000,1.07,775000,665000,0,0,0,0,0,327497.6,0,0,0
"23",2022-12-05,5835500,1.31,937500,510000,0,0,0,0,0,298750.46,0,0,0
"24",2022-12-12,5835500,1.31,937500,510000,0,0,0,0,0,298750.46,0,0,0
"25",2022-12-19,5835500,1.31,937500,510000,0,0,0,0,0,298750.46,0,0,0
"26",2022-12-26,5835500,1.31,937500,510000,0,0,0,0,0,298750.46,0,0,0
"27",2023-01-02,5051600,1.45,158000,150000,0,0,0,0,0,79996.99,0,0,0
"28",2023-01-09,5051600,1.45,158000,150000,0,0,0,0,0,79996.99,0,0,0
"29",2023-01-16,5051600,1.45,158000,150000,0,0,0,0,0,79996.99,0,0,0
"30",2023-01-23,5051600,1.45,158000,150000,0,0,0,0,0,79996.99,0,0,0
"31",2023-01-30,5051600,1.45,158000,150000,0,0,0,0,0,79996.99,0,0,0
"32",2023-02-06,10315500,2.48,300000,735000,335468.75,1735246.95,0,375625,0,332500,373337.26,31570.67,0
"33",2023-02-13,10315500,2.48,300000,735000,335468.75,1735246.95,0,375625,0,332500,373337.26,31570.67,0
"34",2023-02-20,10315500,2.48,300000,735000,335468.75,1735246.95,0,375625,0,332500,373337.26,31570.67,0
"35",2023-02-27,10315500,2.48,300000,735000,335468.75,1735246.95,0,375625,0,332500,373337.26,31570.67,0
"36",2023-03-06,13359500,2.9,2912500,1347500,195968.75,897330,0,338750,0,186607.56,215327.68,0,10976.16
"37",2023-03-13,13359500,2.9,2912500,1347500,195968.75,897330,0,338750,0,186607.56,215327.68,0,10976.16
"38",2023-03-20,13359500,2.9,2912500,1347500,195968.75,897330,0,338750,0,186607.56,215327.68,0,10976.16
"39",2023-03-27,13359500,2.9,2912500,1347500,195968.75,897330,0,338750,0,186607.56,215327.68,0,10976.16
"40",2023-04-03,14167250,3.15,1637500,1002500,129250,252484.88,0,34375,0,29656.86,0,0,16900
"41",2023-04-10,14167250,3.15,1637500,1002500,129250,252484.88,0,34375,0,29656.86,0,0,16900
"42",2023-04-17,14167250,3.15,1637500,1002500,129250,252484.88,0,34375,0,29656.86,0,0,16900
"43",2023-04-24,14167250,3.15,1637500,1002500,129250,252484.88,0,34375,0,29656.86,0,0,16900
"44",2023-05-01,11286800,3.09,238000,992000,0,0,0,0,0,0,0,0,0
"45",2023-05-08,11286800,3.09,238000,992000,0,0,0,0,0,0,0,0,0
"46",2023-05-15,11286800,3.09,238000,992000,0,0,0,0,0,0,0,0,0
"47",2023-05-22,11286800,3.09,238000,992000,0,0,0,0,0,0,0,0,0
"48",2023-05-29,11286800,3.09,238000,992000,0,0,0,0,0,0,0,0,0
"49",2023-06-05,15382500,3.47,72500,880000,0,0,0,0,0,24184.74,0,0,0
"50",2023-06-12,15382500,3.47,72500,880000,0,0,0,0,0,24184.74,0,0,0
"51",2023-06-19,15382500,3.47,72500,880000,0,0,0,0,0,24184.74,0,0,0
"52",2023-06-26,15382500,3.47,72500,880000,0,0,0,0,0,24184.74,0,0,0
"53",2023-07-03,12240000,3.34,56000,902000,0,0,0,0,0,0,0,0,0
"54",2023-07-10,12240000,3.34,56000,902000,0,0,0,0,0,0,0,0,0
"55",2023-07-17,12240000,3.34,56000,902000,0,0,0,0,0,0,0,0,0
"56",2023-07-24,12240000,3.34,56000,902000,0,0,0,0,0,0,0,0,0
"57",2023-07-31,12240000,3.34,56000,902000,0,0,0,0,0,0,0,0,0
"58",2023-08-07,15886500,3.57,35000,640000,0,0,0,0,0,0,0,0,0
"59",2023-08-14,15886500,3.57,35000,640000,0,0,0,0,0,0,0,0,0
"60",2023-08-21,15886500,3.57,35000,640000,0,0,0,0,0,0,0,0,0
"61",2023-08-28,15886500,3.57,35000,640000,0,0,0,0,0,0,0,0,0
"62",2023-09-04,15225500,3.63,1537500,655000,0,0,0,0,0,22225,41014.89,0,0
"63",2023-09-11,15225500,3.63,1537500,655000,0,0,0,0,0,22225,41014.89,0,0
"64",2023-09-18,15225500,3.63,1537500,655000,0,0,0,0,0,22225,41014.89,0,0
"65",2023-09-25,15225500,3.63,1537500,655000,0,0,0,0,0,22225,41014.89,0,0
"66",2023-10-02,13571400,3.96,708000,546000,0,0,0,0,288067.67,0,0,0,0
"67",2023-10-09,13571400,3.96,708000,546000,0,0,0,0,288067.67,0,0,0,0
"68",2023-10-16,13571400,3.96,708000,546000,0,0,0,0,288067.67,0,0,0,0
"69",2023-10-23,13571400,3.96,708000,546000,0,0,0,0,288067.67,0,0,0,0
"70",2023-10-30,13571400,3.96,708000,546000,0,0,0,0,288067.67,0,0,0,0
"71",2023-11-06,17279250,3.88,2817500,690000,153475,0,0,0,360084.59,87513.2,0,0,486.87
"72",2023-11-13,17279250,3.88,2817500,690000,153475,0,0,0,360084.59,87513.2,0,0,486.87
"73",2023-11-20,17279250,3.88,2817500,690000,153475,0,0,0,360084.59,87513.2,0,0,486.87
"74",2023-11-27,17279250,3.88,2817500,690000,153475,0,0,0,360084.59,87513.2,0,0,486.87
"75",2023-12-04,15773000,3.42,392500,260000,71000,0,0,0,360084.59,31916.76,0,0,10761.75
"76",2023-12-11,15773000,3.42,392500,260000,71000,0,0,0,360084.59,31916.76,0,0,10761.75
"77",2023-12-18,15773000,3.42,392500,260000,71000,0,0,0,360084.59,31916.76,0,0,10761.75
"78",2023-12-25,15773000,3.42,392500,260000,71000,0,0,0,360084.59,31916.76,0,0,10761.75
"79",2024-01-01,14396200,4,20000,80000,0,0,0,0,288067.67,8328,0,0,0
"80",2024-01-08,14396200,4,20000,80000,0,0,0,0,288067.67,8328,0,0,0
"81",2024-01-15,14396200,4,20000,80000,0,0,0,0,288067.67,8328,0,0,0
"82",2024-01-22,14396200,4,20000,80000,0,0,0,0,288067.67,8328,0,0,0
"83",2024-01-29,14396200,4,20000,80000,0,0,0,0,288067.67,8328,0,0,0
"84",2024-02-05,17367500,3.91,15000,125000,0,0,0,0,360084.59,0,0,0,0
"85",2024-02-12,17367500,3.91,15000,125000,0,0,0,0,360084.59,0,0,0,0
"86",2024-02-19,17367500,3.91,15000,125000,0,0,0,0,360084.59,0,0,0,0
"87",2024-02-26,17367500,3.91,15000,125000,0,0,0,0,360084.59,0,0,0,0
"88",2024-03-04,19149750,4.06,505000,882500,0,0,0,0,360084.59,0,0,0,0
"89",2024-03-11,19149750,4.06,505000,882500,0,0,0,0,360084.59,0,0,0,0
"90",2024-03-18,19149750,4.06,505000,882500,0,0,0,0,360084.59,0,0,0,0
"91",2024-03-25,19149750,4.06,505000,882500,0,0,0,0,360084.59,0,0,0,0
"92",2024-04-01,15548600,4.17,0,594000,320000,0,68292.68,0,288067.67,97602,369970.55,1815.09,21766.16
"93",2024-04-08,15548600,4.17,0,594000,320000,0,68292.68,0,288067.67,97602,369970.55,1815.09,21766.16
"94",2024-04-15,15548600,4.17,0,594000,320000,0,68292.68,0,288067.67,97602,369970.55,1815.09,21766.16
"95",2024-04-22,15548600,4.17,0,594000,320000,0,68292.68,0,288067.67,97602,369970.55,1815.09,21766.16
"96",2024-04-29,15548600,4.17,0,594000,320000,0,68292.68,0,288067.67,97602,369970.55,1815.09,21766.16
"97",2024-05-06,20011250,4.32,0,732500,0,0,0,0,360084.59,22851.79,0,0,0
"98",2024-05-13,20011250,4.32,0,732500,0,0,0,0,360084.59,22851.79,0,0,0
"99",2024-05-20,20011250,4.32,0,732500,0,0,0,0,360084.59,22851.79,0,0,0
"100",2024-05-27,20011250,4.32,0,732500,0,0,0,0,360084.59,22851.79,0,0,0
"101",2024-06-03,21344750,4.53,0,630000,0,0,0,0,360084.59,27025.44,0,0,0
"102",2024-06-10,21344750,4.53,0,630000,0,0,0,0,360084.59,27025.44,0,0,0
"103",2024-06-17,21344750,4.53,0,630000,0,0,0,0,360084.59,27025.44,0,0,0
"104",2024-06-24,21344750,4.53,0,630000,0,0,0,0,360084.59,27025.44,0,0,0
